P(а): 0,14479254868755292
P(б): 0,008044030482641828
P(в): 0,026248941574936496
P(г): 0,03302286198137172
P(д): 0,0279424216765453
P(е): 0,04403048264182896
P(ё): 0,0059271803556308214
P(ж): 0,0046570702794242165
P(з): 0,02497883149872989
P(і): 0,06858594411515664
P(й): 0,016088060965283656
P(к): 0,03302286198137172
P(л): 0,03429297205757832
P(м): 0,024132091447925486
P(н): 0,0867908552074513
P(о): 0,03090601185436071
P(п): 0,03132938187976291
P(р): 0,04995766299745978
P(с): 0,03429297205757832
P(т): 0,03217612193056731
P(у): 0,024555461473327687
P(ў): 0,018204911092294666
P(ф): 0,0012701100762066045
P(х): 0,021168501270110076
P(ц): 0,026672311600338696
P(ч): 0,014394580863674851
P(ш): 0,009314140558848433
P(ы): 0,05165114309906858
P(э): 0,007620660457239628
P(ю): 0,005080440304826418
P(я): 0,04064352243861134
P( ): 0
P('): 0

---Вероятность каждый буквы в зашифрованном тексте--- 

P(а): 0,014394580863674851
P(б): 0,03429297205757832
P(в): 0,018204911092294666
P(г): 0,03217612193056731
P(д): 0,0059271803556308214
P(е): 0,009314140558848433
P(ё): 0,024132091447925486
P(ж): 0,14479254868755292
P(з): 0,024555461473327687
P(і): 0,0046570702794242165
P(й): 0,05165114309906858
P(к): 0,0867908552074513
P(л): 0,008044030482641828
P(м): 0,018204911092294666
P(н): 0,02497883149872989
P(о): 0,007620660457239628
P(п): 0,03090601185436071
P(р): 0,026248941574936496
P(с): 0,0012701100762066045
P(т): 0,06858594411515664
P(у): 0,005080440304826418
P(ў): 0,03132938187976291
P(ф): 0,03302286198137172
P(х): 0,021168501270110076
P(ц): 0,016088060965283656
P(ч): 0,04064352243861134
P(ш): 0,04995766299745978
P(ы): 0,0279424216765453
P(э): 0,026672311600338696
P(ю): 0,03302286198137172
P(я): 0
P( ): 0,03429297205757832
P('): 0,04403048264182896
